,Temp_Route999,Temp_Route998,Temp_Route997,Temp_Route996,Temp_Route995,Temp_Route994,Temp_Route993,Temp_Route992,Temp_Route991,Temp_Route990,Temp_Route989,Temp_Route988,Temp_Route987
left_time,1.8388667402698236,4.3565603872319905,8.93261712065394,14.03310830063701,68.47874630702954,13.857365030680668,9.91357736957697,7.005588910121368,32.31410656396779,27.51689746030177,9.346752057589715,1.5641573459877556,32.07191389028674
work_time,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
to_dp_time,127.22245940317073,79.26161471298848,119.41334788997082,79.26161471298848,100.58987421626263,141.80680532191394,101.47039985253146,41.94913686269858,62.716478720965284,66.25327262258345,49.63210696361767,60.85265440641131,57.49654949643748
to_dp_distance,62.546434651849594,34.569275249243276,57.99111960248298,34.569275249243276,47.010759959486535,71.05396977111647,47.52439991397668,12.803663169907505,24.91794592056308,26.981075696507013,17.285395728776976,23.830715070406598,21.872987206255196
total_distance,207.77005174899165,194.22949911533766,134.0616394344061,142.93334480065874,136.70255333218972,160.12739499772215,139.29329887854934,210.87227355256593,108.8191884805661,99.46372274913683,109.34563743555432,131.02087395736908,138.79138356399943
P1,안산-3,안산-1414,안산-224,안산-577,안산-1264,안산-1258,안산-242,안산-1423,안산-373,안산-710,안산-825,안산-185,안산-1375
P2,안산-1691,안산-1280,안산-202,안산-1660,안산-1269,안산-1635,안산-234,안산-1186,안산-399,안산-735,안산-827,안산-180,안산-1210
P3,안산-1251,안산-1278,안산-229,안산-1675,안산-113,안산-1646,안산-194,안산-1656,안산-388,안산-310,안산-858,안산-173,안산-156
P4,안산-1402,안산-1282,안산-238,안산-1688,안산-114,안산-1639,안산-458,안산-1756,안산-392,안산-376,안산-835,안산-190,안산-1111
P5,안산-1392,안산-1416,안산-206,안산-1687,안산-123,안산-1638,안산-490,안산-1715,안산-670,안산-641,안산-837,안산-68,안산-1146
P6,안산-1411,안산-1417,안산-240,안산-1673,안산-107,안산-1622,안산-457,안산-1728,안산-523,안산-644,안산-60,안산-18,안산-1153
P7,안산-493,안산-1418,안산-199,안산-1657,안산-127,안산-1643,안산-699,안산-1131,안산-527,안산-616,안산-22,안산-76,안산-1150
P8,안산-495,안산-1412,안산-197,안산-1677,안산-109,안산-27,안산-939,안산-1120,안산-669,안산-640,안산-73,안산-960,안산-1173
P9,안산-375,안산-104,안산-144,안산-1313,안산-103,안산-62,안산-946,안산-1579,안산-650,안산-642,안산-40,안산-319,안산-1178
P10,안산-479,안산-1334,안산-139,안산-1292,안산-112,안산-14,안산-882, ,안산-615,안산-539,안산-948,안산-955,안산-1147
P11, ,안산-1349,안산-134,안산-1300,안산-1016,안산-54,안산-878, ,안산-635,안산-793,안산-323,안산-745,안산-1157
P12, ,안산-1343,안산-143,안산-1301,안산-974,안산-57,안산-877, ,안산-617,안산-792,안산-957,안산-580,안산-1175
P13, ,안산-1338,안산-133,안산-1306,안산-1011,안산-1650,안산-875, ,안산-537,안산-775,안산-328,안산-802,안산-1149
P14, ,안산-1045,안산-147,안산-1296,안산-980,안산-170,안산-896, ,안산-345,안산-782,안산-744,안산-807,안산-1167
P15, , ,안산-138,안산-1741, ,안산-175,안산-874, ,안산-330,안산-771,안산-292,안산-1247,안산-1116
P16, , ,안산-142,안산-1721, ,안산-176,안산-602, ,안산-346,안산-779,안산-306,안산-1227,안산-1115
P17, , ,안산-923,안산-1747, , ,안산-610, ,안산-355,안산-747,안산-255,안산-1211,안산-1463
P18, , ,안산-525,안산-1738, , ,안산-594, ,안산-785,안산-748,안산-281,안산-1202,안산-1453
P19, , ,안산-508,안산-1719, , ,안산-833, ,안산-410,안산-757,안산-299,안산-1246,안산-1445
P20, , ,안산-518,안산-1723, , ,안산-563, ,안산-769,안산-768,안산-268,안산-1222,안산-1182
P21, , ,안산-703, , , ,안산-846, ,안산-423,안산-760,안산-279,안산-1226, 
P22, , ,안산-706, , , ,안산-851, ,안산-92,안산-758,안산-284,안산-151, 
P23, , ,안산-701, , , , , ,안산-87,안산-746,안산-278,안산-150, 
P24, , ,안산-928, , , , , ,안산-445,안산-418,안산-283, , 
P25, , , , , , , , ,안산-440,안산-427,안산-422, , 
P26, , , , , , , , , ,안산-96,안산-89, , 
P27, , , , , , , , , ,안산-99,안산-1135, , 
P28, , , , , , , , , , ,안산-1133, , 
