,Temp_Route0,Temp_Route1,Temp_Route2,Temp_Route3,Temp_Route4
left_time,66.17174732648104,81.71110839975852,152.2389223913499,211.4965956104105,229.67519207880022
work_time,413.82825267351893,398.28889160024147,327.7610776086501,268.5034043895895,250.32480792119978
to_dp_time,59.52842213520532,59.52842213520532,61.30757788414494,63.97784213880362,105.05265120348058
to_dp_distance,23.058246245536438,23.058246245536438,24.09608709908455,25.653741247635445,49.61404653536367
total_distance,140.42276443970906,86.70963104282716,73.30470067154391,79.26438758467135,79.75915479800581
P1,안산-1431,안산-1533,안산-1070,안산-973,안산-665
P2,안산-1627,안산-1617,안산-1035,안산-1023,안산-543
P3,안산-188,안산-1613,안산-1059,안산-968,안산-720
P4,안산-191,안산-1612,안산-1076,안산-983,안산-554
P5,안산-187,안산-1554,안산-1061,안산-1026,안산-620
P6,안산-1478,안산-1433,안산-1054,안산-1317,안산-1707
P7,안산-1486,안산-1619,안산-1051,안산-1322,안산-982
P8,안산-1456,안산-1559,안산-1094,안산-1063,안산-995
P9,안산-1544,안산-1563,안산-1055,안산-1107,안산-965
P10,안산-1441,안산-1594,안산-1079,안산-1030, 
P11,안산-1467,안산-1585,안산-1078,안산-1073, 
P12,안산-1444,안산-1580,안산-1083, , 
P13,안산-1450,안산-1570,안산-1096, , 
P14,안산-1460,안산-1607,안산-1371, , 
P15,안산-1447,안산-1606,안산-163, , 
P16, ,안산-1603,안산-154, , 
P17, ,안산-1605,안산-1229, , 
P18, ,안산-1560, , , 
P19, ,안산-1602, , , 
P20, ,안산-1516, , , 
P21, ,안산-1508, , , 
P22, ,안산-1523, , , 
P23, , , , , 
P24, , , , , 
P25, , , , , 
P26, , , , , 
P27, , , , , 
P28, , , , , 
