,Mapped_Route0,Mapped_Route1,Mapped_Route2,Mapped_Route3,Mapped_Route4,Mapped_Route5,Mapped_Route6,Mapped_Route7,Mapped_Route8,Mapped_Route9,Mapped_Route10,Mapped_Route11,Mapped_Route12,Mapped_Route13,Mapped_Route14,Mapped_Route15,Mapped_Route16,Mapped_Route17
Route,Route0,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12,Route13,Route14,Route15,Route16,Route17
total_distance_x,140.42276443970906,86.70963104282716,73.30470067154391,79.26438758467135,79.75915479800581,207.77005174899165,194.22949911533766,134.0616394344061,142.93334480065874,136.70255333218972,160.12739499772215,139.29329887854934,210.87227355256593,108.8191884805661,99.46372274913683,109.34563743555432,131.02087395736908,138.79138356399943
left_time,66.17174732648104,81.71110839975852,152.2389223913499,211.4965956104105,229.67519207880022,1.8388667402698236,4.3565603872319905,8.93261712065394,14.03310830063701,68.47874630702954,13.857365030680668,9.91357736957697,7.005588910121368,32.31410656396779,27.51689746030177,9.346752057589715,1.5641573459877556,32.07191389028674
work_time,413.82825267351893,398.28889160024147,327.7610776086501,268.5034043895895,250.32480792119978,478.16113325973015,475.643439612768,471.06738287934604,465.966891699363,411.52125369297045,466.1426349693193,470.08642263042304,472.9944110898786,447.6858934360322,452.4831025396982,470.6532479424103,478.4358426540122,447.92808610971326
to_dp_time,59.52842213520532,59.52842213520532,61.30757788414494,63.97784213880362,105.05265120348058,127.22245940317073,79.26161471298848,119.41334788997082,79.26161471298848,100.58987421626263,141.80680532191394,101.47039985253146,41.94913686269858,62.716478720965284,66.25327262258345,49.63210696361767,60.85265440641131,57.49654949643748
P0,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP,DP
P1,안산-1431,안산-1533,안산-1070,안산-973,안산-665,안산-3,안산-1414,안산-224,안산-577,안산-1264,안산-1258,안산-242,안산-1423,안산-373,안산-710,안산-825,안산-185,안산-1375
P2,안산-1627,안산-1617,안산-1035,안산-1023,안산-543,안산-1691,안산-1280,안산-202,안산-1660,안산-1269,안산-1635,안산-234,안산-1186,안산-399,안산-735,안산-827,안산-180,안산-1210
P3,안산-188,안산-1613,안산-1059,안산-968,안산-720,안산-1251,안산-1278,안산-229,안산-1675,안산-113,안산-1646,안산-194,안산-1656,안산-388,안산-310,안산-858,안산-173,안산-156
P4,안산-191,안산-1612,안산-1076,안산-983,안산-554,안산-1402,안산-1282,안산-238,안산-1688,안산-114,안산-1639,안산-458,안산-1756,안산-392,안산-376,안산-835,안산-190,안산-1111
P5,안산-187,안산-1554,안산-1061,안산-1026,안산-620,안산-1392,안산-1416,안산-206,안산-1687,안산-123,안산-1638,안산-490,안산-1715,안산-670,안산-641,안산-837,안산-68,안산-1146
P6,안산-1478,안산-1433,안산-1054,안산-1317,안산-1707,안산-1411,안산-1417,안산-240,안산-1673,안산-107,안산-1622,안산-457,안산-1728,안산-523,안산-644,안산-60,안산-18,안산-1153
P7,안산-1486,안산-1619,안산-1051,안산-1322,안산-982,안산-493,안산-1418,안산-199,안산-1657,안산-127,안산-1643,안산-699,안산-1131,안산-527,안산-616,안산-22,안산-76,안산-1150
P8,안산-1456,안산-1559,안산-1094,안산-1063,안산-995,안산-495,안산-1412,안산-197,안산-1677,안산-109,안산-27,안산-939,안산-1120,안산-669,안산-640,안산-73,안산-960,안산-1173
P9,안산-1544,안산-1563,안산-1055,안산-1107,안산-965,안산-375,안산-104,안산-144,안산-1313,안산-103,안산-62,안산-946,안산-1579,안산-650,안산-642,안산-40,안산-319,안산-1178
P10,안산-1441,안산-1594,안산-1079,안산-1030,,안산-479,안산-1334,안산-139,안산-1292,안산-112,안산-14,안산-882,,안산-615,안산-539,안산-948,안산-955,안산-1147
P11,안산-1467,안산-1585,안산-1078,안산-1073,,,안산-1349,안산-134,안산-1300,안산-1016,안산-54,안산-878,,안산-635,안산-793,안산-323,안산-745,안산-1157
P12,안산-1444,안산-1580,안산-1083,,,,안산-1343,안산-143,안산-1301,안산-974,안산-57,안산-877,,안산-617,안산-792,안산-957,안산-580,안산-1175
P13,안산-1450,안산-1570,안산-1096,,,,안산-1338,안산-133,안산-1306,안산-1011,안산-1650,안산-875,,안산-537,안산-775,안산-328,안산-802,안산-1149
P14,안산-1460,안산-1607,안산-1371,,,,안산-1045,안산-147,안산-1296,안산-980,안산-170,안산-896,,안산-345,안산-782,안산-744,안산-807,안산-1167
