,Temp_Route999,Temp_Route998,Temp_Route997,Temp_Route996,Temp_Route995,Temp_Route994,Temp_Route993
left_time,123.77453473268392,97.80712867019446,88.3940076605216,12.447791165666008,3.368810171750539,52.18597160195558,65.2971185701349
work_time,999.0,999.0,999.0,999.0,999.0,999.0,999.0
to_dp_time,177.38033059080436,128.4352379160004,123.55681399547599,62.943702777100526,109.05847879743938,78.6742183968642,80.19271744397776
to_dp_distance,91.80519284463588,63.253888784333576,60.408141497361,25.050493286641974,51.950779298506305,34.226627398170784,35.11241850898703
total_distance,153.32252909121632,154.91458486752265,120.66399350807869,165.54307391569853,124.54824512256963,113.50607994361,106.85755638993837
P1,안산-4,안산-1699,안산-1250,안산-1283,안산-1704,안산-460,안산-652
P2,안산-1698,안산-1287,안산-1377,안산-105,안산-609,안산-470,안산-84
P3,안산-1692,안산-249,안산-1385,안산-118,안산-731,안산-688,안산-1218
P4,안산-1697,안산-250,안산-480,안산-126,안산-719,안산-685,안산-1237
P5, ,안산-253,안산-481,안산-108,안산-716,안산-692,안산-1212
P6, ,안산-1261,안산-469,안산-124,안산-724,안산-697,안산-1230
P7, , ,안산-477,안산-122,안산-713,안산-518,안산-1239
P8, , ,안산-492,안산-1345,안산-733,안산-517,안산-1229
P9, , ,안산-483,안산-1020,안산-1007,안산-526,안산-1370
P10, , ,안산-831,안산-1363,안산-1010,안산-379,안산-1376
P11, , ,안산-934,안산-1333,안산-981,안산-927,안산-158
P12, , ,안산-683,안산-1356,안산-1002,안산-902,안산-1223
P13, , ,안산-695,안산-1326,안산-989,안산-812,안산-101
P14, , ,안산-677,안산-1324,안산-997,안산-553,안산-92
P15, , ,안산-694,안산-1329,안산-1012,안산-784,안산-446
P16, , ,안산-707,안산-1063,안산-1027,안산-786,안산-447
P17, , ,안산-920,안산-1044,안산-726,안산-771,안산-90
P18, , , , ,안산-710,안산-778,안산-93
P19, , , , ,안산-332,안산-770,안산-419
P20, , , , ,안산-421,안산-412,안산-790
P21, , , , ,안산-636,안산-789,안산-355
P22, , , , ,안산-639,안산-795, 
P23, , , , ,안산-409, , 
P24, , , , ,안산-321, , 
