,Temp_Route999,Temp_Route998,Temp_Route997,Temp_Route996,Temp_Route995,Temp_Route994,Temp_Route993,Temp_Route992,Temp_Route991,Temp_Route990,Temp_Route989,Temp_Route988,Temp_Route987,Temp_Route986,Temp_Route985,Temp_Route984
left_time,0.9706738819489704,5.591721183802484,128.24174022113925,22.480652836258557,29.440177725729875,116.4999609751293,53.71032335626333,54.274325653931115,35.81729972879762,101.3163864092268,64.57944608759627,87.30019867623606,8.065256402467163,3.2169771312207125,50.240022646390756,28.748629722123113
work_time,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
to_dp_time,130.0952411380033,95.96816783787446,146.1623221092948,114.97000614100976,115.85409848606525,149.96044599195875,128.76414756869832,105.33632188226451,103.09381334859236,109.4273673086442,98.90615890852216,101.35842918900681,86.08034684513913,68.80616206698883,94.76402087057892,66.1321050665648
to_dp_distance,64.2222239971686,44.31476457209344,73.59468789708865,55.39917024892236,55.91489078353807,75.81026016197593,63.44575274840736,49.77952109798763,48.471391120012214,52.165964263375784,46.02859269663793,47.4590836935873,38.54686899299783,28.470261205743483,43.6123455078377,26.910394622162805
total_distance,173.1339150579966,182.3096188786056,134.0493968261115,158.70496225551958,142.38980803052527,114.87123547593899,125.7048988242911,95.04406078641823,95.43480130168363,85.20415388382582,96.32368505223984,76.94228111530096,93.4012215147787,89.02753861540239,91.42955441879914,99.29391517684584
P1,안산-2,안산-1288,안산-1697,안산-1429,안산-1272,안산-252,안산-205,안산-196,안산-456,안산-698,안산-506,안산-384,안산-397,안산-671,안산-734,안산-1311
P2,안산-241,안산-1286,안산-1696,안산-1426,안산-1263,안산-251,안산-210,안산-232,안산-486,안산-598,안산-863,안산-381,안산-728,안산-661,안산-621,안산-1299
P3,안산-239,안산-1635,안산-1691,안산-1274,안산-1270,안산-1395,안산-195,안산-216,안산-469,안산-709,안산-601,안산-379,안산-740,안산-673,안산-622,안산-1666
P4,안산-247,안산-1623,안산-1701,안산-1279,안산-119,안산-1396,안산-226,안산-141,안산-471,안산-587,안산-607,안산-371,안산-721,안산-904,안산-531,안산-1298
P5,안산-227,안산-1628,안산-1256,안산-1423,안산-113,안산-1392,안산-248,안산-136,안산-459,안산-565,안산-888,안산-370,안산-487,안산-815,안산-632,안산-1295
P6,안산-208,안산-1630,안산-1259,안산-1420,안산-114,안산-1378,안산-244,안산-135,안산-453,안산-631,안산-591,안산-393,안산-398,안산-822,안산-443,안산-1296
P7,안산-230,안산-1645,안산-1257,안산-1422,안산-128,안산-1389,안산-221,안산-923,안산-488,안산-742,안산-905,안산-369,안산-932,안산-803,안산-647,안산-1741
P8,안산-228,안산-1649,안산-1255,안산-1427,안산-111,안산-1398,안산-236,안산-918,안산-466,안산-654,안산-589,안산-378,안산-520,안산-823,안산-806,안산-1718
