,Temp_Route0,Temp_Route1,Temp_Route2,Temp_Route3,Temp_Route4,Temp_Route5,Temp_Route6,Temp_Route7,Temp_Route8,Temp_Route9,Temp_Route10,Temp_Route11,Temp_Route12,Temp_Route13,Temp_Route14,Temp_Route15,Temp_Route16,Temp_Route17,Temp_Route18,Temp_Route19,Temp_Route20,Temp_Route21,Temp_Route22,Temp_Route23,Temp_Route24,Temp_Route25,Temp_Route26,Temp_Route27,Temp_Route28,Temp_Route29,Temp_Route30,Temp_Route31,Temp_Route32,Temp_Route33,Temp_Route34,Temp_Route35,Temp_Route36,Temp_Route37
left_time,69.87427533157576,85.06034512466711,86.51054750119407,101.7006502742342,108.58953864487268,109.38185759701625,112.21367282399967,122.39094999363832,129.82518384490416,141.7425554631748,151.4560541959107,156.09061454281604,161.3205905761281,163.02751286258487,168.43166560271624,171.9458714593738,173.86407219946537,177.23138263959072,183.2229841936193,185.59751380708892,187.09862998255215,192.63397243449762,212.39380849389855,220.70736685802473,229.02445895258919,234.31540410783268,241.55777941978465,242.77933840370108,271.6434465438866,276.00426455458506,281.19247765569924,288.317245932404,304.2224063458247,310.03955400804125,313.4347302763992,318.31454815950894,336.68954152736,368.95201610316894
work_time,410.12572466842425,394.9396548753329,393.4894524988059,378.2993497257658,371.4104613551273,370.6181424029837,367.7863271760003,357.6090500063617,350.17481615509587,338.25744453682523,328.5439458040893,323.90938545718393,318.6794094238719,316.9724871374151,311.56833439728376,308.0541285406262,306.13592780053466,302.7686173604093,296.7770158063807,294.40248619291106,292.90137001744785,287.36602756550235,267.6061915061015,259.2926331419753,250.97554104741081,245.68459589216732,238.44222058021535,237.22066159629892,208.35655345611337,203.99573544541494,198.80752234430076,191.68275406759602,175.7775936541753,169.96044599195875,166.5652697236008,161.68545184049106,143.31045847264,111.04798389683106
to_dp_time,59.90028616171235,79.12124737669654,71.64013382737284,54.51098184751443,73.26518958934872,65.19542639065213,107.64537528802207,70.60964712352131,53.45137926516771,95.0230769620827,118.17894445289221,102.279302724609,64.76109857242244,65.31789870832782,57.84194924679728,60.24983999688946,73.26518958934872,59.73337433459204,56.704336318357214,50.02646036124986,60.24983999688946,115.84619621885568,89.9543892226303,34.72055825623936,93.94523147567712,93.94523147567712,32.39452884462487,66.29050532332275,100.58987421626263,100.58987421626263,59.90028616171235,26.016021277609596,100.58987421626263,135.0139465913095,149.96044599195875,62.6810424643271,149.96044599195875,26.016021277609596
to_dp_distance,23.275166927665538,34.48739430307298,30.123411399300824,20.13140607771675,31.07136059378675,26.363998727880407,51.126468918012876,29.522294155387435,19.51330457134783,43.76346156121491,57.27105093085379,47.99625992268858,26.110640833913095,26.435440913191222,22.07447039396508,23.479073331518855,31.07136059378675,23.177801695178694,21.41086285237504,17.515435210729088,23.479073331518855,55.91028112766581,40.80672704653434,8.586992316139623,43.134718360811654,43.134718360811654,7.2301418260311765,27.002794771938266,47.010759959486535,47.010759959486535,23.275166927665538,3.509345745272265,47.010759959486535,67.09146884493053,75.81026016197593,24.89727477085747,75.81026016197593,3.509345745272265
total_distance,99.16458303065899,118.58839738565707,89.08083854391356,91.56097865247104,75.87689516157354,76.19391640174051,130.85367260384479,86.01583818007218,88.76062946810839,72.54298492756381,79.96840621762121,72.17976210748931,57.053534225503334,68.11695152015398,58.128813012946836,55.58622315392182,72.50323720759233,58.386898595226896,67.72490697488186,56.73080547304733,47.24647617232866,88.43346799432909,86.10321939308848,55.7581416029478,71.54303943036814,79.14934760376427,50.66129743296067,67.70048573253115,60.98417348497398,65.5793503695631,38.76627754083404,41.001399166982644,59.395436152625216,67.09146884493053,77.31149042723656,29.65645432331011,75.81026016197593,35.61132393981813
P1,안산-1362,안산-1589,안산-1368,안산-1745,안산-67,안산-772,안산-1275,안산-53,안산-1670,안산-1689,안산-473,안산-35,안산-535,안산-1482,안산-1752,안산-1526,안산-848,안산-348,안산-1529,안산-308,안산-1443,안산-1193,안산-71,안산-1199,안산-1627,안산-183,안산-1089,안산-983,안산-985,안산-1008,안산-1067,안산-164,안산-102,안산-1377,안산-1400,안산-1213,안산-1384,안산-1512
P2,안산-1325,안산-1567,안산-1320,안산-1731,안산-50,안산-794,안산-1283,안산-28,안산-1679,안산-1667,안산-478,안산-19,안산-335,안산-1501,안산-1753,안산-1619,안산-849,안산-350,안산-1528,안산-276,안산-1539,안산-1189,안산-11,안산-1206,안산-57,안산-178,안산-1099,안산-83,안산-1004,안산-1010,안산-1039,안산-157,안산-130, ,안산-1403,안산-1205, ,안산-1590
P3,안산-115,안산-1545,안산-1348,안산-1138,안산-79,안산-752,안산-1281,안산-64,안산-1664,안산-1669,안산-450,안산-7,안산-339,안산-1479,안산-1766,안산-1555,안산-586,안산-1240,안산-1527,안산-260,안산-1498,안산-1190,안산-65,안산-1215,안산-55,안산-1624,안산-1162,안산-85,안산-984,안산-736,안산-1036,안산-153,안산-1015, ,안산-1406,안산-1234, ,안산-1158
P4,안산-978,안산-1534,안산-1355,안산-1114,안산-36,안산-751,안산-1273,안산-166,안산-1681,안산-1673,안산-499,안산-5,안산-361,안산-1502,안산-1765,안산-1434,안산-574,안산-1247,안산-1614,안산-262,안산-1600,안산-1192,안산-49,안산-1242,안산-62,안산-1631,안산-1176,안산-82,안산-1027,안산-722,안산-1040,안산-1181,안산-1014, , ,안산-1196, , 
P5,안산-1006,안산-1556,안산-1361,안산-1113,안산-63,안산-756,안산-1276,안산-1493,안산-1654,안산-1680,안산-494,안산-37,안산-352,안산-1489,안산-1736,안산-1563,안산-571,안산-1221,안산-1616,안산-275,안산-1509,안산-1187,안산-6,안산-1233,안산-9,안산-1634,안산-1157,안산-1372,안산-1003,안산-365,안산-1054,안산-1151,안산-1017, , ,안산-1244, , 
