기준,BUDAT_NM,날짜1,날짜2,날짜수식전환,월주,주,요일,월,COURSE_CD,local_code,PK_CUST_CD,CUST_NM,지역,주소,구,X,Y,ITEM_CD,ITEM_NM,QCT_NO,STD_PACK_QTY,총량,BOX,낱개,TRP_TYP,TRP_CUST_CD,수제구분,CBM
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-607,1000204,부광약국,서울,서울 종로구 종로5가 62-1 1층,종로구,127.0026003,37.57123542,5000039,부채표쌍화천 100ML,K129,100,500,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-411,1000219,행복을여는서래약국,서울,서울 서초구 서래로5길 3(반포동),서초구,126.9981235,37.49772228,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-606,1000252,보생당약국,서울,서울 종로구 수표로 92 (관수동) 1층,종로구,126.9896449,37.56939033,5000070,비타천플러스 100ML,K080,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-136,1000306,서울대약국,서울,서울 관악구 신림동 산56-1 학생회관 63동 2층,관악구,126.9571391,37.45334804,5000070,비타천플러스 100ML,K080,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-313,1000492,엄마랑약국,서울,"서울 동작구 장승배기로 107, 1층  2호(노량진동)",동작구,126.939701,37.50723212,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-381,1000691,도일약국,서울,서울 서초구 반포동 747-5,서초구,127.0229223,37.50463764,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-530,1000922,소망약국,서울,서울 영등포구 영등포동 631-12 반석빌딩,영등포,126.9054038,37.51353355,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-53,1001005,윤약국,경기,경기 고양시 일산구 일산4동 1137,고양시,126.7698981,37.68501189,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-126,1001015,명성프라자약국,서울,"서울 관악구 관악로 231-1 (봉천동, 1층)",관악구,126.9555588,37.48533481,5000039,부채표쌍화천 100ML,K129,100,500,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-225,1001016,형제약국,서울,서울 금천구 시흥동 828-41,금천구,126.9087088,37.45125633,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-63,1001229,터미널약국,경기,"경기 고양시 일산동구 중앙로 1036, 고양종합터미널 T102-1호(백석동)",고양시,126.7896615,37.64317872,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-382,1001244,메디컬제일약국,서울,"서울 서초구 방배로 225, 1층(방배동,성은빌딩)",서초구,126.9897795,37.49315902,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-406,1001247,킴스약국,서울,서울 서초구 잠원동 70-1 킴스클럽 1층,서초구,127.0068586,37.51023278,5001368,활명수 75ML,J002,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-119,1001326,굿모닝약국,서울,서울 관악구 신림동 1641-90 대원빌딩 101-2호,관악구,126.9320248,37.47914683,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-119,1001326,굿모닝약국,서울,서울 관악구 신림동 1641-90 대원빌딩 101-2호,관악구,126.9320248,37.47914683,5000039,부채표쌍화천 100ML,K129,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-119,1001326,굿모닝약국,서울,서울 관악구 신림동 1641-90 대원빌딩 101-2호,관악구,126.9320248,37.47914683,5001368,활명수 75ML,J002,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,파주-30,1001423,현대약국,경기,경기 파주시 아동동 286-28,파주시,126.7757974,37.77061718,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-373,1001439,고연뿌리약국,서울,"서울 서초구 신반포로 지하188 지하 188, 지하1층(반포동, 강남고속터미널역)",서초구,127.0044424,37.50464705,5000012,부채표쌍화탕 100ML,K042,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-373,1001439,고연뿌리약국,서울,"서울 서초구 신반포로 지하188 지하 188, 지하1층(반포동, 강남고속터미널역)",서초구,127.0044424,37.50464705,5001928,미인활명수액 75mL,K002,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-591,1001522,큰솔약국,서울,서울 은평구 연서로 12(역촌동),은평구,126.9164286,37.60012306,5000012,부채표쌍화탕 100ML,K042,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-122,1001800,대성약국,서울,서울 관악구 봉천3동 13-9,관악구,126.9597893,37.49132764,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-316,1001870,진원약국,서울,서울 동작구 노량진2동 288-4,동작구,126.936069,37.51032553,5001796,부채표가을생강쌍화 100ml,K035,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-368,1002016,한신약국,서울,"서울 서대문구 통일로 397 (홍제동, 인왕산한신휴플러스상가B419,420호)",서대문,126.9473979,37.58516925,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-217,1002184,삼화약국,서울,서울 금천구 시흥본동 905-8,금천구,126.9118592,37.44964285,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-378,1002404,다보약국,서울,서울 서초구 서초동 1523-6 12/3,서초구,127.0084367,37.4870133,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-42,1002663,아름다운약국,경기,"경기 고양시 일산동구 중산동 1556 중산마을코오롱상가 106,107""",고양시,126.7794234,37.69507983,5000070,비타천플러스 100ML,K080,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-389,1002681,서초당약국,서울,서울 서초구 서초동 1575-9 (삼화빌딩-101),서초구,127.0137629,37.4914325,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-415,1002691,메디팜보배약국,서울,"서울 성동구 아차산로7길 19 (성수동1가, 1층)",성동구,127.0546976,37.54686298,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-139,1002813,엘림약국,서울,서울 관악구 신림동 1641-12,관악구,126.9300771,37.4829601,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-526,1003049,봄빛약국,서울,"서울 영등포구 국회대로70길 12, 101호(여의도동, 대산빌딩)",영등포,126.9198714,37.52936463,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-586,1003306,은평자연약국,서울,"서울 은평구 서오릉로 162, 1층 103호(갈현동)",은평구,126.915359,37.61267971,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,파주-21,1003544,자연약국,경기,경기 파주시 법원읍 사임당로 854-1,파주시,126.8755887,37.84858879,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,파주-21,1003544,자연약국,경기,경기 파주시 법원읍 사임당로 854-1,파주시,126.8755887,37.84858879,5001796,부채표가을생강쌍화 100ml,K035,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-9,1004501,그레이스온누리약국,경기,경기 고양시 덕양구 행신동 950-2 현대프라자 102,고양시,126.8365112,37.62328319,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-573,1005874,서부새생명약국,서울,서울 은평구 역촌동 19-53,은평구,126.9182876,37.60605148,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,파주-23,1006052,태양약국,경기,"경기 파주시 와석순환로 133 (동패동, 1층6~7호)",파주시,126.745131,37.71213434,5000004,까스활명수큐액 75ML(50),K096,120,840,7,0,Y,고려택배,X,0.189
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-218,1007953,소망약국,서울,서울 금천구 독산동 196-44,금천구,126.9015033,37.46907543,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-325,1008197,상암월드약국,서울,"서울 마포구 월드컵로 240, 2층(성산동, 월드컵주경기장홈플러스내)",마포구,126.8990339,37.5699436,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-361,1008235,은하약국,서울,서울 서대문구 남가좌동 5-178,서대문,126.9236192,37.58220221,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-62,1008257,중앙약국,경기,경기 고양시 덕양구 토당동 99-38,고양시,126.8234678,37.6268344,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-425,1008285,일진약국,서울,서울 성동구 용답동 44-6,성동구,127.0540769,37.56266235,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-355,1008293,삼성약국,서울,서울 서대문구 연희동 137-6,서대문,126.9305814,37.56729741,5000070,비타천플러스 100ML,K080,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-536,1008397,이도온누리약국,서울,"서울 영등포구 당산로31길 14, 1층(당산동3가,덕양빌딩)",영등포,126.8952594,37.52681834,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-2,1008444,365종로약국,경기,"경기 고양시 일산서구 일산로 530, 102(일산동, 모아프라자)",고양시,126.7690881,37.67750343,5000070,비타천플러스 100ML,K080,100,500,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-12,1008496,대원약국,경기,"경기 고양시 일산서구 주엽동 66-1 일송노블레스 105,106호",고양시,126.7619281,37.67026021,5000012,부채표쌍화탕 100ML,K042,100,1000,10,0,Y,고려택배,X,0.27
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-141,1008669,온누리수경약국,서울,서울 관악구 신림7동 668-4,관악구,126.934941,37.48464193,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-141,1008669,온누리수경약국,서울,서울 관악구 신림7동 668-4,관악구,126.934941,37.48464193,5000070,비타천플러스 100ML,K080,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-50,1008742,원당시장약국,경기,"경기 고양시 덕양구 호국로 803, 1층(주교동)",고양시,126.837073,37.65784167,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-583,1008776,예진약국,서울,"서울 은평구 갈현로 81, 지상1층(역촌동,9,그린빌딩)",은평구,126.9103037,37.60530776,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-390,1009126,서초삼성약국,서울,서울 서초구 서초동 1327 트라팰리스2 102,서초구,127.0270695,37.49562127,5000004,까스활명수큐액 75ML(50),K096,120,120,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-318,1009138,근화사약국,서울,서울 마포구 공덕동 256-30,마포구,126.9538006,37.54481806,5000004,까스활명수큐액 75ML(50),K096,120,480,4,0,Y,고려택배,X,0.108
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-318,1009138,근화사약국,서울,서울 마포구 공덕동 256-30,마포구,126.9538006,37.54481806,5000012,부채표쌍화탕 100ML,K042,100,200,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-318,1009138,근화사약국,서울,서울 마포구 공덕동 256-30,마포구,126.9538006,37.54481806,5000070,비타천플러스 100ML,K080,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-305,1009146,상도시장약국,서울,서울 동작구 상도동 238-12,동작구,126.9371189,37.50108433,5000004,까스활명수큐액 75ML(50),K096,120,240,2,0,Y,고려택배,X,0.054
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-305,1009146,상도시장약국,서울,서울 동작구 상도동 238-12,동작구,126.9371189,37.50108433,5000070,비타천플러스 100ML,K080,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-305,1009146,상도시장약국,서울,서울 동작구 상도동 238-12,동작구,126.9371189,37.50108433,5002173,황제골드 100ML,K013,100,100,1,0,Y,고려택배,X,0.027
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-566,1009334,경하프라자약국,서울,서울 은평구 구산동 196-3,은평구,126.9156191,37.61197371,5000039,부채표쌍화천 100ML,K129,100,300,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-592,1009404,태평양리드팜약국,서울,"서울 은평구 응암로 235(응암동,(앙암로235),1층)",은평구,126.91761,37.59301552,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-402,1009449,열린약국,서울,서울 서초구 방배동 1770,서초구,126.9826097,37.48800611,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-38,1009503,세원약국,경기,경기 고양시 덕양구 화수로14번길 52(화정동),고양시,126.8300146,37.64259999,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-427,1009555,평안약국,서울,서울 성동구 행당1동 140 레몬프라자 1층 117,성동구,127.0355302,37.55824987,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-129,1009561,봉천프라자약국,서울,서울 관악구 봉천동 927-21 주원빌딩,관악구,126.9427537,37.48196445,5000004,까스활명수큐액 75ML(50),K096,120,600,5,0,Y,고려택배,X,0.135
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,서울-7,1009720,대학약국,서울,서울 강남구 일원동 715-1 신영프라자 105,강남구,127.0834855,37.48573325,5000004,까스활명수큐액 75ML(50),K096,120,360,3,0,Y,고려택배,X,0.081
MAX,2021-01-05,2021-01-05,21.1.5,2021.1.5,1월1주,1,화,1월,TA,고양-52,1009976,유명약국,경기,경기 고양시 덕양구 토당동 882 가남프라자 102호,고양시,126.8247658,37.61982482,5001796,부채표가을생강쌍화 100ml,K035,100,300,3,0,Y,고려택배,X,0.081
